0,92,225,202,1,38,84,8,253,4,73,390,135,702,0,79,0,487,382,676,70,108,34,5,137,4
64,3,0,0,209,0,0,0,33,0,0,72,2,0,141,0,0,41,19,1,71,0,0,0,46,0
227,0,39,0,233,0,0,222,97,0,91,71,0,0,301,0,0,93,13,121,70,0,0,0,24,0
128,2,1,21,369,0,20,2,181,0,0,22,13,6,71,0,0,76,54,4,47,9,2,0,18,0
385,38,170,513,191,60,47,18,76,2,24,213,174,561,41,80,9,860,590,172,4,95,53,85,55,0
51,1,0,0,70,81,0,0,108,0,0,18,2,0,199,0,0,88,8,46,17,0,0,0,10,0
49,0,1,0,154,0,32,119,56,0,0,25,0,35,40,0,0,81,36,6,23,0,1,0,7,0
499,28,0,4,1100,0,3,0,316,0,0,2,4,7,258,0,8,30,12,47,30,0,2,0,15,0
132,27,317,302,143,88,144,0,1,0,38,218,69,991,251,47,5,107,384,494,0,124,0,6,1,18
6,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0
4,0,0,1,162,0,1,0,48,0,0,10,0,15,5,1,0,0,28,0,0,0,1,0,1,0
248,2,3,136,334,12,1,0,266,0,13,226,2,2,137,10,0,6,62,44,44,7,3,0,166,0
201,40,0,0,277,2,0,0,161,0,0,0,27,1,165,151,0,0,32,0,29,0,0,0,9,0
170,0,106,455,284,31,500,3,153,0,15,14,14,24,142,4,0,3,171,383,26,26,4,0,78,2
32,27,78,105,12,363,42,6,24,2,69,108,264,605,156,87,0,557,106,182,393,101,135,4,13,1
143,0,0,2,153,0,0,24,49,0,0,111,6,1,154,61,0,175,24,29,31,0,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
280,12,49,49,767,4,41,30,343,0,52,36,60,84,269,8,0,33,254,170,115,25,5,0,95,0
171,7,54,7,391,1,2,126,231,0,19,47,23,5,145,70,1,0,126,404,108,0,7,0,16,0
215,1,15,0,509,5,1,1224,484,0,0,43,6,7,465,0,0,186,190,93,59,0,35,0,96,0
37,33,60,47,55,5,68,0,30,0,1,133,94,185,8,59,0,159,208,205,0,0,0,1,7,0
50,0,0,0,403,0,0,0,99,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,1,0
158,0,0,5,141,0,0,155,173,0,1,5,7,33,92,0,0,7,14,0,0,0,0,0,1,0
5,0,5,0,13,0,0,1,17,0,0,0,0,0,1,38,0,0,0,9,4,0,0,0,0,0
7,4,1,1,48,0,0,0,16,0,0,2,6,2,37,2,0,1,46,7,0,0,3,0,0,0
4,0,0,0,15,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
